Higher Taxon,December 2012,Family,Subfamily
Amphisbaenia,Chirindia langi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Chirindia mpwapwaensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Chirindia rondoensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Chirindia swynnertoni,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca bifrontalis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca degrysi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca feae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca gansi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca haugi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca kigomensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca kraussi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca leonina,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca leucura,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca liberiensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca muelleri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca nigeriensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca oligopholis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca rouxae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca schaeferi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca senegalensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Cynisca williamsi,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia angolensis,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia ellenbergeri,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia gigantea,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia longicauda,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia luluae,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Dalophia pistillum,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Geocalamus acutus,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Geocalamus modestus,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Loveridgea ionidesii,Amphisbaenidae,Amphisbaenidae
Amphisbaenia,Loveridgea phylofiniens,Amphisbaenidae,Amphisbaenidae
